Location,Selector,Degree,Male Population,Female Population,Median Age (Male),Median Age (Female),Total Population,Population Density,Zoom Level,Top Left Degree,Bottom Right Degree,id
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(856),39.461 21.410 Degrees,32,20,28,24,52,Population Density: 81.30/sq km,6,39.458 21.413 Degrees,39.465 21.406 Degrees,856
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(857),39.382 21.416 Degrees,394,385,24,20,779,"Population Density: 1,217.20/sq km",6,39.379 21.419 Degrees,39.386 21.413 Degrees,857
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(858),39.447 21.396 Degrees,676,529,28,23,"1,205","Population Density: 1,882.80/sq km",6,39.443 21.399 Degrees,39.451 21.393 Degrees,858
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(859),39.512 21.403 Degrees,Protected,Protected,Protected,Protected,50,Population Density: 78.10/sq km,6,39.508 21.406 Degrees,39.515 21.399 Degrees,859
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(860),39.389 21.450 Degrees,805,620,28,24,"1,425","Population Density: 2,226.60/sq km",6,39.386 21.453 Degrees,39.393 21.446 Degrees,860
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(861),39.425 21.416 Degrees,77,40,27,21,117,Population Density: 182.80/sq km,6,39.422 21.419 Degrees,39.429 21.413 Degrees,861
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(862),39.468 21.410 Degrees,552,364,29,22,916,"Population Density: 1,431.30/sq km",6,39.465 21.413 Degrees,39.472 21.406 Degrees,862
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(863),39.411 21.450 Degrees,446,305,27,22,751,"Population Density: 1,173.40/sq km",6,39.408 21.453 Degrees,39.415 21.446 Degrees,863
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(864),39.454 21.423 Degrees,68,73,25,24,141,Population Density: 220.30/sq km,6,39.451 21.426 Degrees,39.458 21.419 Degrees,864
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(865),39.382 21.323 Degrees,60,52,24,18,112,Population Density: 175.00/sq km,6,39.379 21.326 Degrees,39.386 21.319 Degrees,865
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(866),39.490 21.430 Degrees,164,119,24,21,283,Population Density: 442.20/sq km,6,39.487 21.433 Degrees,39.494 21.426 Degrees,866
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(867),39.512 21.450 Degrees,Protected,Protected,Protected,Protected,50,Population Density: 78.10/sq km,6,39.508 21.453 Degrees,39.515 21.446 Degrees,867
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(868),39.483 21.423 Degrees,533,448,24,21,981,"Population Density: 1,532.80/sq km",6,39.479 21.426 Degrees,39.487 21.419 Degrees,868
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(869),39.454 21.416 Degrees,453,378,27,23,831,"Population Density: 1,298.40/sq km",6,39.451 21.419 Degrees,39.458 21.413 Degrees,869
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(870),39.397 21.450 Degrees,882,606,28,23,"1,488","Population Density: 2,325.00/sq km",6,39.393 21.453 Degrees,39.400 21.446 Degrees,870
