Location,Selector,Degree,HouseholdAverageSize,HouseholdMedianSize,ZoomLevel,TopLeftDegree,BottomRightDegree,ID,Parent
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(505),40.019 21.441 Degrees,4.6,4,4,40.005 21.453 Degrees,40.033 21.428 Degrees,Makkah-505-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(504),40.047 21.387 Degrees,3.8,4,4,40.033 21.400 Degrees,40.062 21.374 Degrees,Makkah-504-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(503),39.990 21.306 Degrees,3.4,2,4,39.976 21.319 Degrees,40.004 21.292 Degrees,Makkah-503-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(502),39.731 21.788 Degrees,3.5,3,4,39.717 21.801 Degrees,39.746 21.774 Degrees,Makkah-502-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(501),39.530 21.840 Degrees,4.2,4,4,39.516 21.853 Degrees,39.544 21.827 Degrees,Makkah-501-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(500),39.588 21.493 Degrees,4.5,5,4,39.574 21.506 Degrees,39.602 21.479 Degrees,Makkah-500-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(499),39.875 21.306 Degrees,4.0,3,4,39.861 21.319 Degrees,39.890 21.292 Degrees,Makkah-499-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(498),39.760 21.654 Degrees,3.9,4,4,39.746 21.667 Degrees,39.775 21.640 Degrees,Makkah-498-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(497),39.788 21.600 Degrees,4.3,4,4,39.775 21.613 Degrees,39.803 21.587 Degrees,Makkah-497-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(496),39.788 21.414 Degrees,4.0,3,4,39.775 21.428 Degrees,39.803 21.400 Degrees,Makkah-496-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(495),39.702 21.573 Degrees,4.1,4,4,39.688 21.586 Degrees,39.716 21.559 Degrees,Makkah-495-4,
